,workclass,education,marital-status,occupation,relationship,race,gender,net-income
0,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
1,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2,Private,Masters,Divorced,Other-service,Not-in-family,Black,Female,<=50
3,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
4,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,<=50
5,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50
6,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50
7,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50
8,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
9,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
10,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Other,Male,<=50
11,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
12,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<=50
13,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50
14,Private,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,>50
15,Private,12th,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50
16,Private,HS-grad,Widowed,Sales,Not-in-family,White,Female,<=50
17,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,<=50
18,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
19,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Black,Male,>50
20,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
21,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
22,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
23,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
24,Private,Assoc-acdm,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,<=50
25,Self-emp-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,<=50
26,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
27,Private,Some-college,Separated,Transport-moving,Not-in-family,Black,Female,<=50
28,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
29,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
30,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
31,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50
32,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50
33,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
34,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50
35,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
36,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,>50
37,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
38,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50
39,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
40,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
41,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
42,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50
43,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<=50
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
45,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50
46,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,<=50
47,Self-emp-not-inc,Doctorate,Married-AF-spouse,Exec-managerial,Wife,White,Female,<=50
48,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<=50
49,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,<=50
50,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,<=50
51,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50
52,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
53,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,Male,>50
54,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
55,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
56,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50
57,Federal-gov,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,>50
58,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
59,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
60,State-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,<=50
61,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
62,Self-emp-inc,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50
63,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
64,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,<=50
65,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
66,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,<=50
67,Private,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Male,<=50
68,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<=50
69,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<=50
70,Federal-gov,HS-grad,Married-civ-spouse,Craft-repair,Wife,White,Female,<=50
71,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
72,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<=50
73,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
